Path|Author|Date|Size
./.agent/rules/code-standards-patterns.md|Audit Agent|2026-02-11 16:48:47 +0500|     402
./.agent/rules/core-identity-tech-stack.md|Audit Agent|2026-02-11 16:48:47 +0500|     161
./.agent/rules/development-workflow-testing.md|Audit Agent|2026-02-11 16:48:47 +0500|     433
./.agent/rules/performance-security-accessibility.md|Audit Agent|2026-02-11 16:48:47 +0500|     456
./.agent/skills/advanced-debugging/SKILL.md|Audit Agent|2026-02-07 12:21:39 +0500|     801
./.agent/skills/agent-teams/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|      49
./.agent/skills/brainstorming/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|      96
./.agent/skills/code-standards/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|      34
./.agent/skills/core-identity/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|      38
./.agent/skills/development-workflow/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|      30
./.agent/skills/dispatching-parallel-agents/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|     180
./.agent/skills/executing-plans/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|      84
./.agent/skills/port-5002-compliance/SKILL.md|Audit Agent|2026-02-11 16:48:47 +0500|     791
./.agent/skills/production-standards/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|      29
./.agent/skills/project-standards/SKILL.md|Audit Agent|2026-02-19 09:50:31 +0500|     243
./.agent/skills/react-express-typescript/SKILL.md|Audit Agent|2026-02-07 11:27:21 +0500|     150
./.agent/skills/subagent-driven-development/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|     242
./.agent/skills/subagent-driven-development/code-quality-reviewer-prompt.md|Audit Agent|2026-02-15 17:42:08 +0500|      20
./.agent/skills/subagent-driven-development/implementer-prompt.md|Audit Agent|2026-02-15 17:42:08 +0500|      78
./.agent/skills/subagent-driven-development/spec-reviewer-prompt.md|Audit Agent|2026-02-15 17:42:08 +0500|      61
./.agent/skills/systematic-debugging/CREATION-LOG.md|Audit Agent|2026-02-15 17:42:08 +0500|     119
./.agent/skills/systematic-debugging/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|     296
./.agent/skills/systematic-debugging/condition-based-waiting.md|Audit Agent|2026-02-15 17:42:08 +0500|     115
./.agent/skills/systematic-debugging/defense-in-depth.md|Audit Agent|2026-02-15 17:42:08 +0500|     122
./.agent/skills/systematic-debugging/root-cause-tracing.md|Audit Agent|2026-02-15 17:42:08 +0500|     169
./.agent/skills/systematic-debugging/test-academic.md|Audit Agent|2026-02-15 17:42:08 +0500|      14
./.agent/skills/test-driven-development/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|     371
./.agent/skills/test-driven-development/testing-anti-patterns.md|Audit Agent|2026-02-15 17:42:08 +0500|     299
./.agent/skills/using-git-worktrees/SKILL.md|Audit Agent|2026-02-15 17:42:08 +0500|     218
./.agent/workflows/3d-integration.md|Audit Agent|2026-02-11 16:48:47 +0500|     480
./.agent/workflows/component-api-creation.md|Audit Agent|2026-02-11 16:48:47 +0500|     482
./.agent/workflows/feature-development-bug-fixing.md|Audit Agent|2026-02-11 16:48:47 +0500|     351
./.agents/rules/stitch.md|Audit Agent|2026-02-25 22:23:16 +0500|      53
./.github/PULL_REQUEST_TEMPLATE.md|Audit Agent|2026-01-11 23:19:42 +0500|      53
./AGENTS.md|Audit Agent|2026-02-25 22:23:16 +0500|     290
./CATEGORIES_AUDIT_REPORT.md|Audit Agent|2026-02-11 16:48:47 +0500|      61
./CHANGELOG.md|Audit Agent|2026-02-16 00:43:36 +0500|      66
./CODE_OF_CONDUCT.md|Audit Agent|2026-01-12 12:05:55 +0500|      61
./CONTRIBUTING.md|Audit Agent|2026-02-12 14:24:27 +0500|      88
./DESIGN_SYSTEM.md|Audit Agent|2026-02-12 14:24:27 +0500|     134
./README.md|Audit Agent|2026-02-19 09:50:31 +0500|     910
./RUN_CMS_Audit_Scoring_Rubric_2026.md|Audit Agent|2026-02-11 16:48:47 +0500|     792
./RUN_CMS_Forensic_Audit_Prompt_2026.md|Audit Agent|2026-02-11 16:48:47 +0500|     800
./SYSTEM_AUDIT_REPORT_2026.md|Audit Agent|2026-02-15 17:42:08 +0500|     183
./architecture/SOP_API_HANDSHAKE.md|Audit Agent|2026-02-15 17:42:08 +0500|      17
./architecture/SOP_CODE_CHANGE.md|Audit Agent|2026-02-15 13:14:44 +0500|      26
./architecture/SOP_UI_UPGRADE.md|Audit Agent|2026-02-15 17:42:08 +0500|      20
./audit-reports/floating-dock-navbar-forensic-audit-2026.md|Audit Agent|2026-02-17 15:46:25 +0500|     140
./audit-reports/homepage-forensic-audit-2026-02-15.md|Audit Agent|2026-02-17 15:46:25 +0500|     611
./client/README.md|Audit Agent|2026-02-17 15:46:25 +0500|      38
./client/app/components/admin/manufacturing/README.md|Audit Agent|2026-02-03 14:08:48 +0500|      41
./client/app/components/navigation/floating-dock-navbar-README.md|Audit Agent|2026-02-09 01:24:32 +0500|      31
./code-analysis-report.md|Audit Agent|2026-02-15 17:42:08 +0500|      90
./docs/AGENT_INSTRUCTIONS.md|Audit Agent|2026-02-19 09:50:31 +0500|     716
./docs/AUDIT_REPORT.md|Audit Agent|2026-02-25 22:23:16 +0500|     103
./docs/CODING_STANDARDS.md|Audit Agent|2026-02-19 09:50:31 +0500|     664
./docs/DEVELOPMENT_WORKFLOW.md|Audit Agent|2026-02-15 13:14:44 +0500|     809
./docs/ONBOARDING.md|Audit Agent|2026-02-25 22:23:16 +0500|      46
./docs/ROUTE_MAPPING.md|Audit Agent|2026-02-18 15:04:08 +0500|      91
./docs/TROUBLESHOOTING.md|Audit Agent|2026-02-12 14:24:27 +0500|     994
./docs/adr/0001-adr-template.md|Audit Agent|2026-01-13 13:07:54 +0500|      53
./docs/adr/0002-react-19-over-nextjs.md|Audit Agent|2026-02-03 18:07:40 +0500|      49
./docs/adr/0003-neon-serverless-database.md|Audit Agent|2026-01-13 13:07:54 +0500|      47
./docs/adr/0004-express-5-framework.md|Audit Agent|2026-01-13 13:07:54 +0500|      46
./docs/adr/0005-drizzle-orm.md|Audit Agent|2026-01-13 13:07:54 +0500|      47
./docs/adr/0006-tailwind-v4.md|Audit Agent|2026-01-13 13:07:54 +0500|      46
./docs/adr/0007-cloud-run-deployment.md|Audit Agent|2026-01-13 13:07:54 +0500|      47
./docs/adr/0008-upstash-redis.md|Audit Agent|2026-01-13 13:07:54 +0500|      47
./docs/adr/0009-biome-over-eslint.md|Audit Agent|2026-01-13 13:07:54 +0500|      47
./docs/adr/0010-monorepo-structure.md|Audit Agent|2026-01-13 13:07:54 +0500|      55
./docs/adr/0011-google-oauth.md|Audit Agent|2026-01-13 13:07:54 +0500|      47
./docs/adr/0012-two-tier-caching.md|Audit Agent|2026-01-13 13:07:54 +0500|      61
./docs/adr/0013-error-handling-architecture.md|Audit Agent|2026-01-13 23:03:59 +0500|      87
./docs/adr/0014-observability-pipeline.md|Audit Agent|2026-01-13 23:03:59 +0500|      99
./docs/adr/0015-react-router-7.md|Audit Agent|2026-02-03 18:07:40 +0500|      40
./docs/adr/README.md|Audit Agent|2026-01-13 23:03:59 +0500|      34
./docs/api/API_ERROR_SPEC.md|Audit Agent|2026-01-09 19:02:30 +0500|      75
./docs/api/ERROR_CODES.md|Audit Agent|2026-01-11 23:19:42 +0500|     192
./docs/api/README.md|Audit Agent|2026-02-12 15:32:01 +0500|      42
./docs/api/auth.md|Audit Agent|2026-02-12 14:24:27 +0500|      27
./docs/api/authentication-guide.md|Audit Agent|2026-02-15 00:32:47 +0500|      46
./docs/api/endpoints.md|Audit Agent|2026-02-12 17:55:30 +0500|     805
./docs/api/getting-started.md|Audit Agent|2026-02-15 00:32:47 +0500|      61
./docs/api/schema-reference.md|Audit Agent|2026-02-12 14:24:27 +0500|     211
./docs/api/webhooks-guide.md|Audit Agent|2026-02-15 00:32:47 +0500|      53
./docs/architecture/event-bus.md|Audit Agent|2026-02-03 14:08:48 +0500|      97
./docs/architecture/system_diagrams.md|Audit Agent|2026-02-04 15:13:29 +0500|     179
./docs/audit/CONTACT_PAGE_FORENSIC_AUDIT_2026_02_15.md|Audit Agent|2026-02-17 15:46:16 +0500|     103
./docs/audit/CONTACT_ROUTE_VERIFIED.md|Audit Agent|2026-02-12 17:55:30 +0500|      28
./docs/audit/MATURITY_SCORE.md|Audit Agent|2026-02-17 15:46:16 +0500|      32
./docs/compliance/data-classification.md|Audit Agent|2026-02-03 14:08:48 +0500|     216
./docs/compliance/gdpr-ccpa.md|Audit Agent|2026-01-11 23:19:42 +0500|     197
./docs/core/HORIZONTAL_SCALING.md|Audit Agent|2026-01-07 17:09:49 +0500|     216
./docs/core/VISUAL_GOVERNANCE.md|Audit Agent|2026-01-07 17:09:49 +0500|      34
./docs/core/architecture.md|Audit Agent|2026-02-15 00:32:47 +0500|     230
./docs/core/mcp-security-policy.md|Audit Agent|2026-02-12 14:24:27 +0500|      28
./docs/core/port-5002-architecture.md|Audit Agent|2026-02-12 15:32:01 +0500|      80
./docs/core/sdk-workspace.md|Audit Agent|2026-02-15 00:32:47 +0500|     379
./docs/core/ssr-invariants.md|Audit Agent|2026-01-11 01:05:18 +0500|      92
./docs/core/tech-stack.md|Audit Agent|2026-02-12 14:24:27 +0500|     152
./docs/development/3d-pipeline.md|Audit Agent|2026-02-03 14:08:48 +0500|     121
./docs/development/accessibility.md|Audit Agent|2026-02-15 00:32:47 +0500|     462
./docs/development/admin-component-organization.md|Audit Agent|2026-02-15 00:32:47 +0500|     423
./docs/development/dependency-graph.md|Audit Agent|2026-02-15 00:32:47 +0500|     542
./docs/development/ide-setup.md|Audit Agent|2026-01-12 12:05:55 +0500|     206
./docs/development/performance-budget.md|Audit Agent|2026-02-15 00:32:47 +0500|     412
./docs/development/styling.md|Audit Agent|2026-02-03 14:08:48 +0500|     207
./docs/development/testing.md|Audit Agent|2026-02-15 00:32:47 +0500|      76
./docs/development/utility-consolidation.md|Audit Agent|2026-02-15 00:32:47 +0500|     210
./docs/guides/3D_INTEGRATION.md|Audit Agent|2026-02-12 17:55:30 +0500|      39
./docs/guides/TRANSACTION_SAFETY.md|Audit Agent|2026-02-03 14:08:48 +0500|     202
./docs/guides/deployment-troubleshooting.md|Audit Agent|2026-02-12 14:24:27 +0500|      30
./docs/guides/developer-workflow.md|Audit Agent|2026-02-04 12:23:38 +0500|      81
./docs/index.md|Audit Agent|2026-02-15 13:14:44 +0500|      30
./docs/infra/CI_AUDIT_REPORT_2026.md|Audit Agent|2026-02-18 11:54:07 +0500|     281
./docs/observability/LOCAL_STACK.md|Audit Agent|2025-12-22 20:58:04 +0500|      47
./docs/observability/observability-and-errors.md|Audit Agent|2026-01-07 17:09:49 +0500|      95
./docs/operations/BRANCH_PROTECTIONS.md|Audit Agent|2026-02-03 14:08:48 +0500|      64
./docs/operations/MAINTENANCE_RUNBOOK.md|Audit Agent|2026-02-03 14:08:48 +0500|     212
./docs/operations/database-recovery.md|Audit Agent|2026-02-03 14:08:48 +0500|     148
./docs/operations/database-replicas.md|Audit Agent|2026-01-13 13:07:54 +0500|     137
./docs/operations/disaster-recovery.md|Audit Agent|2026-02-15 00:32:47 +0500|     537
./docs/operations/environment.md|Audit Agent|2026-02-02 13:16:59 +0500|      99
./docs/operations/load-testing-baseline.md|Audit Agent|2026-02-03 14:08:48 +0500|     119
./docs/operations/load-testing-runbook.md|Audit Agent|2026-02-02 13:16:59 +0500|     141
./docs/operations/local-development-optimization.md|Audit Agent|2026-02-02 13:16:59 +0500|      75
./docs/operations/multi-region-deployment.md|Audit Agent|2026-02-15 00:32:47 +0500|     853
./docs/operations/observability.md|Audit Agent|2026-02-09 09:30:47 +0500|      26
./docs/operations/scaling-policies.md|Audit Agent|2026-01-12 00:33:58 +0500|     170
./docs/operations/security.md|Audit Agent|2026-02-15 00:32:47 +0500|     608
./docs/operations/slos.md|Audit Agent|2026-02-02 19:21:44 +0500|     219
./docs/overview.md|Audit Agent|2026-02-12 17:55:30 +0500|     195
./docs/release/upgrade-playbook.md|Audit Agent|2026-02-05 23:25:04 +0500|      41
./docs/resources/content/sportswear_fibers_guide.md|Audit Agent|2026-02-02 18:25:06 +0500|     224
./docs/runbooks/README.md|Audit Agent|2026-01-11 13:44:06 +0500|      40
./docs/runbooks/circuit-breaker-trip.md|Audit Agent|2026-01-11 13:44:06 +0500|      67
./docs/runbooks/database-migrations.md|Audit Agent|2026-02-09 09:30:47 +0500|      72
./docs/runbooks/database-outage.md|Audit Agent|2026-01-11 13:44:06 +0500|      72
./docs/runbooks/deployment-rollback.md|Audit Agent|2026-01-11 13:44:06 +0500|     104
./docs/runbooks/incident-response.md|Audit Agent|2026-01-11 01:05:18 +0500|      93
./docs/runbooks/rate-limit-surge.md|Audit Agent|2026-01-11 13:44:06 +0500|      70
./docs/runbooks/sentry-alert-triage.md|Audit Agent|2026-01-11 13:44:06 +0500|      75
./docs/security/encryption-at-rest.md|Audit Agent|2026-01-11 13:44:06 +0500|     182
./docs/security/penetration-testing-policy.md|Audit Agent|2026-01-11 23:19:42 +0500|     155
./docs/security/threat-model.md|Audit Agent|2026-01-11 13:44:06 +0500|     165
./docs/testing/manufacturing-page-evaluation.md|Audit Agent|2026-02-25 22:23:16 +0500|     310
./docs/testing/manufacturing-page-test-report.md|Audit Agent|2026-02-25 22:23:16 +0500|     303
./docs/testing/manufacturing-page-visual-design-analysis.md|Audit Agent|2026-02-25 22:23:16 +0500|     531
./docs/testing/testing-e2e-prod.md|Audit Agent|2026-01-07 17:09:49 +0500|      49
./docs/testing/testing-tiers.md|Audit Agent|2026-01-07 17:09:49 +0500|      84
./duplication_report.md|||      11
./error-handling-audit-report.md|Audit Agent|2026-02-09 01:24:32 +0500|     266
./findings.md|Audit Agent|2026-02-15 13:14:44 +0500|      20
